show_id,cinema_id,hall_id,hall_capacity,movie_id,genre,age_rating,runtime_min,release_date,show_datetime,format,base_price,sold_tickets,occupancy_rate,city,day_of_week,is_weekend,hour_bucket,month,holiday_flag,release_age_days,lead_time_days,prime_time_flag,runtime_bucket,screening_number_for_movie
show_00541,cinema_spb_01,hall_1,100,movie_comedy_01,comedy,12+,105,2026-02-10,2026-03-01 10:15:00,IMAX,527.95,41,0.41,Saint Petersburg,6,True,morning,3,False,19,11.7,False,medium,1
show_00544,cinema_spb_01,hall_2,70,movie_horror_01,horror,18+,98,2026-03-05,2026-03-01 10:30:00,2D,336.15,37,0.5286,Saint Petersburg,6,True,morning,3,False,0,20.6,False,medium,1
show_00001,cinema_msk_01,hall_1,120,movie_family_01,animation,6+,92,2026-02-20,2026-03-01 10:30:00,2D,381.27,59,0.4917,Moscow,6,True,morning,3,False,9,5.5,False,medium,1
show_00003,cinema_msk_01,hall_2,80,movie_comedy_01,comedy,12+,105,2026-02-10,2026-03-01 10:45:00,2D,391.11,28,0.35,Moscow,6,True,morning,3,False,19,16.7,False,medium,1
show_00007,cinema_msk_01,hall_3,60,movie_family_01,animation,6+,92,2026-02-20,2026-03-01 11:30:00,IMAX,609.17,30,0.5,Moscow,6,True,morning,3,False,9,7.8,False,medium,3
show_00002,cinema_msk_01,hall_1,120,movie_family_01,animation,6+,92,2026-02-20,2026-03-01 14:15:00,IMAX,638.05,91,0.7583,Moscow,6,True,day,3,False,9,13.8,True,medium,2
show_00004,cinema_msk_01,hall_2,80,movie_dune_2,sci_fi,16+,166,2026-03-01,2026-03-01 14:30:00,2D,420.58,72,0.9,Moscow,6,True,day,3,False,0,9.8,True,long,1
show_00542,cinema_spb_01,hall_1,100,movie_dune_2,sci_fi,16+,166,2026-03-01,2026-03-01 14:45:00,3D,434.72,74,0.74,Saint Petersburg,6,True,day,3,False,0,6.1,True,long,1
show_00008,cinema_msk_01,hall_3,60,movie_horror_01,horror,18+,98,2026-03-05,2026-03-01 14:45:00,3D,517.38,52,0.8667,Moscow,6,True,day,3,False,0,20.8,True,medium,1
show_00545,cinema_spb_01,hall_2,70,movie_family_01,animation,6+,92,2026-02-20,2026-03-01 15:00:00,2D,330.86,42,0.6,Saint Petersburg,6,True,day,3,False,9,12.0,True,medium,1
show_00009,cinema_msk_01,hall_3,60,movie_dune_2,sci_fi,16+,166,2026-03-01,2026-03-01 18:15:00,3D,568.51,60,1.0,Moscow,6,True,evening,3,False,0,10.2,True,long,4
show_00543,cinema_spb_01,hall_1,100,movie_dune_2,sci_fi,16+,166,2026-03-01,2026-03-01 18:45:00,2D,426.4,77,0.77,Saint Petersburg,6,True,evening,3,False,0,10.0,True,long,2
show_00005,cinema_msk_01,hall_2,80,movie_dune_2,sci_fi,16+,166,2026-03-01,2026-03-01 18:45:00,3D,595.42,72,0.9,Moscow,6,True,evening,3,False,0,4.4,True,long,2
show_00006,cinema_msk_01,hall_2,80,movie_dune_2,sci_fi,16+,166,2026-03-01,2026-03-01 22:15:00,2D,513.36,76,0.95,Moscow,6,True,evening,3,False,0,14.9,False,long,3
show_00017,cinema_msk_01,hall_3,60,movie_dune_2,sci_fi,16+,166,2026-03-01,2026-03-02 10:45:00,IMAX,601.99,27,0.45,Moscow,0,False,morning,3,False,1,16.8,False,long,6
show_00014,cinema_msk_01,hall_2,80,movie_horror_01,horror,18+,98,2026-03-05,2026-03-02 11:15:00,2D,400.02,42,0.525,Moscow,0,False,morning,3,False,0,20.2,False,medium,2
show_00549,cinema_spb_01,hall_2,70,movie_comedy_01,comedy,12+,105,2026-02-10,2026-03-02 11:30:00,3D,401.65,14,0.2,Saint Petersburg,0,False,morning,3,False,20,12.8,False,medium,3
show_00546,cinema_spb_01,hall_1,100,movie_horror_01,horror,18+,98,2026-03-05,2026-03-02 11:30:00,3D,419.84,37,0.37,Saint Petersburg,0,False,morning,3,False,0,16.4,False,medium,2
show_00010,cinema_msk_01,hall_1,120,movie_family_01,animation,6+,92,2026-02-20,2026-03-02 11:45:00,3D,489.88,51,0.425,Moscow,0,False,morning,3,False,10,5.5,False,medium,4
show_00015,cinema_msk_01,hall_2,80,movie_comedy_01,comedy,12+,105,2026-02-10,2026-03-02 14:00:00,IMAX,616.46,27,0.3375,Moscow,0,False,day,3,False,20,12.1,False,medium,3
show_00550,cinema_spb_01,hall_2,70,movie_comedy_01,comedy,12+,105,2026-02-10,2026-03-02 14:15:00,IMAX,569.83,25,0.3571,Saint Petersburg,0,False,day,3,False,20,15.7,False,medium,4
show_00547,cinema_spb_01,hall_1,100,movie_comedy_01,comedy,12+,105,2026-02-10,2026-03-02 15:00:00,3D,416.07,36,0.36,Saint Petersburg,0,False,day,3,False,20,19.0,False,medium,2
show_00018,cinema_msk_01,hall_3,60,movie_family_01,animation,6+,92,2026-02-20,2026-03-02 15:45:00,IMAX,625.96,32,0.5333,Moscow,0,False,day,3,False,10,16.6,False,medium,6
show_00011,cinema_msk_01,hall_1,120,movie_comedy_01,comedy,12+,105,2026-02-10,2026-03-02 15:45:00,2D,440.23,36,0.3,Moscow,0,False,day,3,False,20,21.0,False,medium,2
show_00012,cinema_msk_01,hall_1,120,movie_family_01,animation,6+,92,2026-02-20,2026-03-02 18:15:00,IMAX,719.84,84,0.7,Moscow,0,False,evening,3,False,10,10.6,True,medium,5
show_00551,cinema_spb_01,hall_2,70,movie_comedy_01,comedy,12+,105,2026-02-10,2026-03-02 18:15:00,2D,429.08,34,0.4857,Saint Petersburg,0,False,evening,3,False,20,13.0,True,medium,5
